"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000051951",11.0982464643933,-0.256979340379494,0.468920468900806,-0.548023294828391,0.583675907747212,0.752591530450682
"ENSMUSG00000102331",4.79681856167609,-0.136186184686617,0.93964376881536,-0.144933845363878,0.884763103820554,0.941637711622315
"ENSMUSG00000025900",21.039695442593,-2.79372054453234,0.498027169298639,-5.6095745709349,2.02824588210382e-08,1.93399803862696e-06
"ENSMUSG00000025902",158.405632673042,-0.614390758492971,0.168389829030718,-3.64862154697533,0.000263651158636283,0.00396423019895495
"ENSMUSG00000102269",2.64198994785422,0.429924285894899,0.989427521812216,0.434518220301228,0.663912166678885,NA
"ENSMUSG00000098104",6.04822397263755,-0.0415663986591362,0.704967118007061,-0.0589621807846077,0.952982231040512,0.976365903063101
"ENSMUSG00000103922",57.5477200738451,0.536840578867044,0.310976550410083,1.72630565925024,0.0842924377816769,0.224222163483284
"ENSMUSG00000033845",1322.85553930563,0.0569095364685479,0.100819790066792,0.564467912806067,0.572435731449766,0.744574362332285
"ENSMUSG00000102275",20.770294265773,-0.339979441474233,0.453455834666942,-0.749752049665309,0.453404052892553,0.649812463750742
"ENSMUSG00000025903",817.433433389764,-0.392514017938316,0.238705222280172,-1.64434616967708,0.100104717554844,0.250732751784649
"ENSMUSG00000033813",2298.5739415712,0.04064828828443,0.0977786516082318,0.415717414955719,0.677616796353493,0.81890156238797
"ENSMUSG00000062588",82.2755067749668,-0.191950929729416,0.198857390474795,-0.965269278004258,0.334409955379842,0.538506234650483
"ENSMUSG00000103280",93.8701062688042,0.628161767947981,0.184393469509877,3.40663782517707,0.000657683352135823,0.00784879148632328
"ENSMUSG00000002459",574.43298547003,0.332255307284313,0.0978387908332048,3.39594658166556,0.000683917055632022,0.00808790169613179
"ENSMUSG00000033793",1923.07614411968,-0.0791349503348362,0.0924623583859711,-0.855861257664426,0.392074526770837,0.593515550121623
"ENSMUSG00000104046",2.42246809593141,3.27452444819716,1.43683555771347,2.27898344429067,0.0226680494655134,NA
"ENSMUSG00000033774",1.4176508483332,0.159437263395074,1.78482486548128,0.0893293602518707,0.92882016122957,NA
"ENSMUSG00000025907",1889.79808705411,0.349560045502991,0.121150779075847,2.88533056220916,0.0039100287090565,0.0284923223444345
"ENSMUSG00000090031",293.010719772933,0.366991262191458,0.139095345398326,2.63841511835288,0.00832945497301369,0.0476828954637934
"ENSMUSG00000103355",12.5954084160468,-0.5574126196893,0.448166053011104,-1.24376359151747,0.213586583875529,0.406111157396666
"ENSMUSG00000103845",16.6522076513801,1.08823971759276,0.610930090959824,1.78128354405172,0.0748661414235974,0.207113808678503
"ENSMUSG00000033740",1.98573040623809,1.73636313006532,1.21882601629583,1.4246193524342,0.154267262820883,NA
"ENSMUSG00000102135",39.1539874505916,0.206776851020231,0.282481925790565,0.732000287953071,0.464168392018126,0.658964411822201
"ENSMUSG00000051285",2558.16303078522,0.109104289255024,0.143005529082817,0.76293755881173,0.445500635474539,0.643635246457487
"ENSMUSG00000048538",101.444915311176,0.520621431606799,0.22587621718625,2.30489707191047,0.0211723386466968,0.0902853939671072
"ENSMUSG00000097797",34.031099115891,-0.137672437376544,0.304702072753102,-0.451826389405954,0.651394057083826,0.800466385855991
"ENSMUSG00000103067",4.36081095629817,0.533798021704676,0.834155784531266,0.6399260565035,0.522220673003958,NA
"ENSMUSG00000086235",2.15085392928158,1.15916378837444,1.22557756141791,0.945810224391972,0.344245389690316,NA
"ENSMUSG00000084353",57.2292675461862,1.13324995366901,0.24574645204487,4.61146008106799,3.99850450414464e-06,0.000156080116754452
"ENSMUSG00000103933",1.7272584830734,0.291468932898497,1.19183439529041,0.244554892903117,0.806801093818784,NA
"ENSMUSG00000076135",2.13380391547362,-3.5903150180377,1.93582443717809,-1.85466974643187,0.0636434015352913,NA
"ENSMUSG00000061024",1318.22205669566,0.268123898270909,0.189119014740571,1.41775219503293,0.156263125545237,0.332697074450123
"ENSMUSG00000025911",181.761990159573,-0.261415642521305,0.174884650160738,-1.49478894963643,0.134969531177547,0.303226589444246
"ENSMUSG00000079671",77.0304957400563,-0.0705727510195842,0.260929889405298,-0.270466335537225,0.786801512464439,0.886774207018371
"ENSMUSG00000081441",951.980539772033,0.472615983522173,0.159639890041646,2.96051308603934,0.00307127073864169,0.0240261122354313
"ENSMUSG00000025912",125.620639962228,-0.930197721821997,0.30892719823855,-3.01105803284989,0.0026033909117337,0.0214148455855314
"ENSMUSG00000045210",578.507666301992,0.101770238033966,0.19436380528587,0.523606943609085,0.600551951009903,0.764693901291716
"ENSMUSG00000025915",703.398598311216,-0.158090215784961,0.128970087168508,-1.2257897878165,0.220277791172872,0.414515870949364
"ENSMUSG00000046101",9.26285910278611,-0.531201056322499,0.537575091913016,-0.988142985628604,0.323082626151424,0.527227161440635
"ENSMUSG00000098234",547.816668163393,0.0980296821931245,0.143721884812368,0.682079018940673,0.49518898663561,0.684909584892697
"ENSMUSG00000093178",5.48016925596092,-2.2212546302353,0.853817613512597,-2.60155634538515,0.00928018190834587,0.0512724031292467
"ENSMUSG00000099032",20.6329048083694,-0.915113200162009,0.452854457324276,-2.02076668422129,0.0433039231205135,0.144693687330502
"ENSMUSG00000025917",2835.52370510185,0.0539285745788257,0.0742347265411474,0.726460203890342,0.467556695496279,0.661708752271557
"ENSMUSG00000056763",573.485563638855,0.103525240431126,0.129348644619703,0.800358138544855,0.423503327471481,0.623328952726324
"ENSMUSG00000067851",2797.31333957449,0.168110731289387,0.137980175881705,1.21836872735626,0.22308388351498,0.418154103809106
"ENSMUSG00000042501",71.2724841687294,-0.337130534573342,0.235447160123459,-1.43187343774529,0.152180045306404,0.327239172931958
"ENSMUSG00000048960",118.075989852335,-0.198411513900954,0.194725424710121,-1.01892967595947,0.308236353897353,0.512482573628733
"ENSMUSG00000057715",2.54468291257401,-2.34984485798442,1.18735616121358,-1.97905644047248,0.0478096520464422,NA
"ENSMUSG00000016918",431.507235647229,-0.050437897021026,0.169204145646035,-0.298089014476862,0.765635225835593,0.873826281091228
"ENSMUSG00000025938",153.68019422627,-0.22093917373517,0.171875101332785,-1.28546352567605,0.198630354686434,0.388068234242629
"ENSMUSG00000005886",1411.29328371707,0.332712278134785,0.155106163162806,2.14506162328029,0.0319479202876536,0.11777531068151
"ENSMUSG00000025935",1739.80727354104,-0.248609415127498,0.118005711241097,-2.10675748243713,0.0351386067074127,0.125757393278684
"ENSMUSG00000025937",582.357207378299,0.040932464888532,0.118332844725286,0.345909582276655,0.729410667078451,0.85144557191215
"ENSMUSG00000102982",1.99356871635522,-0.0913436565021066,1.2603359080381,-0.0724756439291623,0.94222338781443,NA
"ENSMUSG00000025932",131.901929560132,0.488378997577575,0.217661516669975,2.24375445439017,0.0248482043289697,0.0998617496684908
"ENSMUSG00000054493",5.61922307153517,-0.107264450000621,0.75789633252158,-0.141529184662688,0.887451906054436,0.942708027163233
"ENSMUSG00000025930",28.9221246847648,-0.298943672156757,0.332873698877891,-0.898069367344095,0.369148568928823,0.572457150927626
"ENSMUSG00000103492",1.55776075894405,-0.927202072255486,1.57829038916768,-0.587472418649429,0.556886469115628,NA
"ENSMUSG00000081201",927.261472316788,0.2551408363827,0.148265950034867,1.7208323038614,0.085281258672668,0.225915771073995
"ENSMUSG00000082193",3792.30629434306,0.0239997016479234,0.0832028677387108,0.28844801026921,0.773003821728757,0.877818106199124
"ENSMUSG00000073737",3.35694294129072,0.608618473523777,0.847494298387481,0.718138723389395,0.472671755823987,NA
"ENSMUSG00000025925",400.636680641113,0.370669189624315,0.131342048229768,2.82216696496061,0.00477003361501674,0.0324653637306146
"ENSMUSG00000104379",4.89796341190666,0.397051050573727,0.834584179118332,0.475747157097057,0.634254520577516,0.788038420476612
"ENSMUSG00000032719",35.4647063170377,-0.761704020494014,0.318112722731734,-2.394446892765,0.016645453794325,0.0766154580744557
"ENSMUSG00000043716",34447.1525457064,-0.0774963318032337,0.0911406946389192,-0.850293407464781,0.395161980906134,0.596446253429435
"ENSMUSG00000025921",1298.75429096436,-0.283626438006298,0.11666261718307,-2.43116813984401,0.015050228478605,0.0712756805092521
"ENSMUSG00000025920",613.531181962827,-0.300707785462259,0.124007765437645,-2.42491092715855,0.0153121431456379,0.0721772099186659
"ENSMUSG00000025939",507.732835079766,-0.161832971243407,0.11511553732802,-1.40583082874614,0.159774365253298,0.337634412103762
"ENSMUSG00000102457",5.34470367194071,0.560244473458671,0.844918689774421,0.663075015666001,0.507282511086489,0.694071858443153
"ENSMUSG00000079658",1313.54056354246,-0.201239947173184,0.110006244947269,-1.82935020888721,0.0673471615312611,0.192538141096084
"ENSMUSG00000025940",813.122459416689,0.024489600186521,0.125749278195299,0.194749429483695,0.845589113564654,0.920356689793865
"ENSMUSG00000025779",98.1917829079328,-0.578257614537552,0.206144787460577,-2.80510422631054,0.00503003117684259,0.0337446989640525
"ENSMUSG00000042686",639.834978186256,-0.710355085474019,0.221499638092426,-3.20702594185552,0.00134114901104029,0.0133529672444666
"ENSMUSG00000025777",20.6512026448278,-0.881770655728693,0.457282025328355,-1.92828628043171,0.0538195273541433,0.166285954492052
"ENSMUSG00000101589",5.59716227701221,0.255770096943203,0.743355483340437,0.344075079387108,0.7307898237566,0.852380584354857
"ENSMUSG00000067780",54.1059334700111,0.718308905331717,0.348813289782891,2.0592933995686,0.0394661404005303,0.135897960279656
"ENSMUSG00000025776",23.0148668096275,-0.720546549988389,0.471389681394092,-1.52855817263,0.126374011896362,0.291125408802139
"ENSMUSG00000100720",245.466565859605,0.03490048334633,0.129029560712738,0.270484400268786,0.786787616594214,0.886774207018371
"ENSMUSG00000025927",4221.79451798487,0.185693178136909,0.203443078060276,0.912752500145973,0.361372725316602,0.565791042613309
